table_label,caption,claim_scope,repo_evidence_sources,evidence_status
tab:intro-reqs,How the application gap becomes concrete system requirements.,requirements synthesis,demo/src/App.jsx;demo/src/components/Studio.jsx,implementation-backed synthesis
tab:rel-terms,Terminology used consistently throughout the dissertation.,terminology,rhinoform/train.py;scripts/evaluation/rbsr_ridge_fold_projection.py;demo/src/engine/admission.js,code-backed definitions
tab:rel-competitor,"External-tool positioning. Every cell is qualitative, drawn from public vendor/review material; no competitor was run locally, so no row is a measured comparison against this project's numbers.",external-tool positioning,bibliography_identifier_audit.csv,external literature/vendor evidence; not a repo result
tab:rel-synthesis,"Synthesis of the surveyed families against the three platform requirements distilled in sec:rel-clinical : registered locality, interpretable sparse control, and live geometric safety. Rhinoform's hybrid branch is the only row that targets all three.",related-work synthesis,bibliography_identifier_audit.csv,external literature synthesis; not a repo result
tab:proto-reqs,Requirement-to-evidence index for the prototype. Each design goal is traced to the benchmark evidence or section rationale that supports it.,prototype requirements,demo/src/App.jsx;demo/src/components/Studio.jsx;docs/final_tables/main_results_9900_pairs.csv,implementation and result-backed
tab:proto-semantic-map,How the demo's region-level controls remain inside the original nine-landmark sparse-control task.,semantic control map,demo/public/bundle/ridge_browser.json;demo/src/engine/geometry.js,released-bundle and implementation-backed
tab:architecture-tensor-contract,"Tensor and feature contract for Rhinoform. These dimensions define the input/output interface used by the ridge anchor, CVAE residual model and RB-SR gate.",tensor contract,demo/public/bundle/ridge_browser.json;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/base/neural_field_metadata_cvae_ew0p1_lw0.json;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/gate/rbsr_gate_training.json,package/implementation-backed
tab:algorithm-rbsr,"Algorithmic form of the deployed Rhinoform deformation pipeline. The key design choice is that the learned model proposes a residual, while RB-SR decides spatial admission.",method algorithm,rhinoform/train.py;rhinoform/cvae.py;rhinoform/train_rbsr_gate.py;scripts/evaluation/rbsr_ridge_fold_projection.py,implementation-backed
tab:architecture-ridge-anchor,Source-conditioned ridge anchor.,Ridge architecture,rhinoform/train.py;demo/public/bundle/ridge_browser.json,implementation/bundle-backed
tab:architecture-cvae-detailed,Conditional neural-field architecture. Shapes use batch size B and ROI vertex count V=3934 .,CVAE architecture,rhinoform/cvae.py;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/base/neural_field_metadata_cvae_ew0p1_lw0.json,implementation/package-backed
tab:architecture-rbsr-gate,Spatial residual-gate architecture.,gate architecture,rhinoform/train_rbsr_gate.py;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/gate/rbsr_gate_training.json,implementation/package-backed
tab:method-rationale,Method taxonomy used throughout the evaluation. The five external baselines span three deformation paradigms; the internal rows are the ablation chain that derives RB-SR.,method taxonomy,rhinoform/baselines.py;rhinoform/cvae.py;scripts/evaluation/rbsr_ridge_fold_projection.py;results/rbsr_final_rerun_holdout_v1/lamm/seed20260609/protocol_audit.json,implementation/protocol-backed
tab:evaluation-metrics-definitions,"Evaluation metrics under the strict protocol. All metrics are lower-is-better. The nine landmark controls are hard-fixed before scoring, so landmark RMSE is retained only as a sanity check.",metric definitions,rhinoform/geometry.py;rhinoform/confirmation.py;scripts/evaluation/direct_paired_statistics.py,scorer-backed
tab:evaluation-statistical-protocol,Statistical evaluation protocol used for the benchmark.,statistical protocol,rhinoform/stats.py;scripts/evaluation/direct_paired_statistics.py;results/rbsr_final_rerun_holdout_v1/protocol/FINAL_RERUN_HOLDOUT_POLICY_FREEZE.json,code/protocol-backed
tab:m7-main,"Main benchmark: seven benchmark methods and the internal Hybrid ablation under the strict protocol (100-id held-out test, 9\,900 ordered pairs, primary PCA-64 configuration). Only the global metrics defined in sec:task-metrics are shown; per-sub-unit accuracy and risk are reported in sec:uni-subunit . Best per column in bold . The LAMM row is analysed separately in sec:eval-lamm .",main benchmark,docs/final_tables/main_results_9900_pairs.csv,committed summary; replayed from pair records
tab:pca128,Post-hoc PCA-128 capacity study on the held-out test pairs (post-hoc evidence tier; the PCA-64 primary analysis is unchanged). The PCA-128 certified RB-SR point leads the LAMM on all three headline metrics; the primary PCA-64 point is shown for reference.,post-hoc capacity study,docs/final_tables/supplementary_rbsr_vs_lamm_9900_pairs.csv,committed summary; replayed from pair records
tab:m7-subunit-rmse,Per-sub-unit RMSE under the strict protocol (post-hoc decomposition). Lowest per column in bold ; lowest anchored method per column in italic .,sub-unit accuracy,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/subunit_means_all_methods.csv,committed post-hoc summary
tab:m7-subunit-flip,"Per-sub-unit new-flip\,\% under the strict protocol (post-hoc decomposition). Lowest overall in bold . Certified RB-SR concedes flips only to the smoothness/rigidity endpoint (ARAP).",sub-unit flips,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/subunit_means_all_methods.csv,committed post-hoc summary
