bibkey,citation_use_count,identifier_type,identifier,http_status,report_title,resolved_title,resolved_year
bouaoud2018,3,doi,10.1097/GOX.0000000000001884,200,Functional and aesthetic factors associated with revision of rhinoplasty,Functional and Aesthetic Factors Associated with Revision of Rhinoplasty,2018
dissat2024,4,doi,10.20517/2347-9264.2023.111,200,Persistent cosmetic dissatisfaction in rhinoplasty and management of the difficult patient,Persistent cosmetic dissatisfaction in rhinoplasty &amp; management of the difficult patient,2024
compimg,2,doi,10.1258/002221502761698748,200,Computer imaging and patient satisfaction in rhinoplasty surgery,Computer imaging and patient satisfaction in rhinoplasty surgery,2002
morph3d2019,3,doi,10.1097/GOX.0000000000002063,200,Three-dimensional morphing and its added value in the rhinoplasty consult,Three-dimensional Morphing and Its Added Value in the Rhinoplasty Consult,2019
sim3d2025,1,doi,10.1093/asjof/ojaf110,200,Three-dimensional simulation accuracy and patient satisfaction with rhinoplasty,Three-Dimensional Simulation Accuracy and Patient Satisfaction With Rhinoplasty,2025
awareness2025,1,doi,10.55730/1300-0144.6099,200,Preoperative awareness of nasal and facial aesthetic deformities among rhinoplasty candidates,Preoperative awareness of nasal and facial aesthetic deformities among rhinoplasty candidates,2025
skinstrain,1,doi,10.1038/jid.1982.4,200,Biomechanical properties of dermis,Biomechanical Properties of Dermis,1982
softenvelope,1,doi,10.1093/asj/sjw160,200,Managing the difficult soft tissue envelope in facial and rhinoplasty surgery,Managing the Difficult Soft Tissue Envelope in Facial and Rhinoplasty Surgery,2017
blanz1999,2,doi,10.1145/311535.311556,200,A morphable model for the synthesis of 3D faces,A morphable model for the synthesis of 3D faces,1999
li2017flame,2,doi,10.1145/3130800.3130813,200,Learning a model of facial shape and expression from 4D scans,Learning a model of facial shape and expression from 4D scans,2017
yang2020facescape,2,doi,10.1109/CVPR42600.2020.00068,200,FaceScape: A large-scale high quality 3D face dataset and detailed riggable 3D face prediction,FaceScape: A Large-Scale High Quality 3D Face Dataset and Detailed Riggable 3D Face Prediction,2020
sorkine2004laplacian,4,doi,10.1145/1057432.1057456,200,Laplacian surface editing,Laplacian surface editing,2004
botsch2008survey,2,doi,10.1109/TVCG.2007.1054,200,On linear variational surface deformation methods,On Linear Variational Surface Deformation Methods,2008
sorkine2007arap,4,doi,10.2312/SGP/SGP07/109-116,404,As-rigid-as-possible surface modeling,,
botsch2005rbf,1,doi,10.1111/j.1467-8659.2005.00886.x,200,Real-time shape editing using radial basis functions,Real‐Time Shape Editing using Radial Basis Functions,2005
schuller2013lim,1,doi,10.1111/cgf.12179,200,Locally injective mappings,Locally Injective Mappings,2013
liu2016inversionfree,1,doi,10.1145/2980179.2980231,200,Computing inversion-free mappings by simplex assembly,Computing inversion-free mappings by simplex assembly,2016
rabinovich2017slim,1,doi,10.1145/2983621,200,Scalable locally injective mappings,Scalable Locally Injective Mappings,2017
aigerman2022njf,1,doi,10.1145/3528223.3530141,200,Neural Jacobian fields: learning intrinsic mappings of arbitrary meshes,Neural jacobian fields,2022
kingma2014vae,4,arxiv,1312.6114,200,Auto-encoding variational Bayes,,
sohn2015cvae,4,none,,NO_NETWORK_IDENTIFIER,Learning structured output representation using deep conditional generative models,,
ranjan2018coma,1,doi,10.1007/978-3-030-01219-9_43,200,Generating 3D faces using convolutional mesh autoencoders,Generating 3D Faces Using Convolutional Mesh Autoencoders,2018
egger2020survey,1,doi,10.1145/3395208,200,"3D morphable face models---past, present, and future","3D Morphable Face Models—Past, Present, and Future",2020
