report_relative_path,claim_scope,repo_evidence_sources,evidence_status,report_asset_sha256
figures/redrawn/fig_1_1_clinical_gap.pdf,literature synthesis diagram,bibliography_identifier_audit.csv and the cited works in Chapters 1--2,citation-backed; exact composite absent from repository,2af397dcc7375586b5a3c8bc564a694c5b519669bc837056e74a299b8dfea7b6
figures/redrawn/fig_2_1_task_taxonomy.pdf,literature synthesis diagram,bibliography_identifier_audit.csv and the cited works in Chapters 1--2,citation-backed; exact composite absent from repository,4bbb5675c28891dd0ee5c94a249ca295985a38cb7297ce61d86856b784403810
figures/final/fig_4_1_task_geometry.pdf,task geometry,demo/public/bundle/head_mean.json;data/manifest.json;splits/facescape_847/split_manifest.json,data/topology-backed; exact composite absent from repository,30f59ab3aa1aac3e4d70b929b800afe32cb8e6d61112d20447aebc02baa3747e
figures/final/fig_4_2_rbsr_framework.pdf,method architecture,rhinoform/train.py;rhinoform/cvae.py;rhinoform/train_rbsr_gate.py;scripts/evaluation/rbsr_ridge_fold_projection.py;demo/src/engine/certifiedLocal.js,implementation-backed; exact composite absent from repository,fbc126aeb28da1a621cc308119fb62a2e1e84ba0953f733a8c30723d3a31c846
figures/redrawn/fig_5_1_evaluation_protocol.pdf,evaluation protocol,splits/facescape_847/split_manifest.json;results/rbsr_final_rerun_holdout_v1/protocol/FINAL_RERUN_HOLDOUT_POLICY_FREEZE.json;scripts/evaluation/direct_paired_statistics.py,protocol-backed; exact composite absent from repository,f7947e47675ffb423ae3553bb5aa392306bf2ae62d289b5a3c7b25d188c9717b
figures/eval_review_v3/eval_02_subunit_matrix_review_v1.pdf,sub-unit analysis,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/subunit_means_all_methods.csv;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/region_topology_audit.json,numeric/topology source committed; exact composite absent from repository,91a6ce39921dc64784194f187383881c1ee11692502feae8b2b18fc50f5de5b5
figures/eval_review_v3/eval_03_spatial_operating_points_review_v1.pdf,spatial/tail analysis,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/spatial;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/figures/FIGURE_EVIDENCE.json,NPZ/CSV and elementary figure evidence committed; exact composite absent from repository,107c4d7f39a4741ae315a787791e34d995d1b5f3d7e9b359d366be6f3bc14989
figures/eval_review_v3/eval_06_qualitative_extremes_review_v1.pdf,deterministic qualitative cases,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/qualitative/QUALITATIVE_CASE_SELECTION_FREEZE.json;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/qualitative/QUALITATIVE_CASES_EVIDENCE.json,case freeze/evidence JSON and NPZ hash sidecars committed; private NPZ bytes independently matched those hashes; exact composite absent from repository,95bb8b8803e5894d9e8c79add417a85f095e119070b95bbd5447e495e0b04821
figures/eval_review_v3/eval_01_operating_points_review_v1.pdf,operating-point comparison,docs/final_tables/main_results_9900_pairs.csv;docs/final_tables/primary_rbsr_vs_ridge_statistics.csv;docs/final_tables/supplementary_rbsr_vs_lamm_9900_pairs.csv,numeric source committed and replayed; exact composite absent from repository,2a1d50b029f921b6e14e7db8131a60291153a1c0e0ff0e75a5243dd2b828a872
figures/eval_review_v3/eval_05_noise_robustness_review_v1.pdf,noise robustness,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/noise/noise_robustness_summary.csv;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/noise/STRICT_NOISE_ROBUSTNESS_EVIDENCE.json,numeric/protocol source committed; exact composite absent from repository,ed692da59f6c4951db3ceeb8ad9156c3fe0af9afa33d94bbc0736dacff65093e
figures/redrawn/fig_a_1_qualitative_all.pdf,deterministic qualitative cases,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/qualitative/QUALITATIVE_CASE_SELECTION_FREEZE.json;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/qualitative/QUALITATIVE_CASES_EVIDENCE.json,case freeze/evidence JSON and NPZ hash sidecars committed; private NPZ bytes independently matched those hashes; exact composite absent from repository,a3f116e57e233e581a5064b5a18ee392e36a1a09359099d2bd52827e1f23b9c8
figures/redrawn/fig_a_3_subunit_strain.pdf,sub-unit analysis,results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/subunit_means_all_methods.csv;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/region_topology_audit.json,numeric/topology source committed; exact composite absent from repository,854311c64e368ba208b31caf13d34f5b5765cea2929412d1b90882bb9ae367f1
imperial-logo.pdf,document template branding,not a scientific claim,template asset outside repository,0fede73944a86c2b4b654233dafe00af73dc277fec9faf9a4180115cc3168450
figures/classic/morphable_3dmm.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,def46f48a39b575502689cb62ef3d911f6dbc40d9cba2b8648eca6caad8a4422
figures/classic/pca_shape_model.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,edcf8dd0cb71bb290e0fc2effc8bfc4b4b9072bdc730ad737114b959c74abcc0
figures/classic/flame_model.png,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,f759975ccf82ae1260c7cb8ae4b22e293377fed5de5831b3e2fb57edf4dd5bb7
figures/classic/flame_model_joints.png,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,2ce058da710690918c59e4098384dc0f59084f9a7b15882716813cc2d3fe8506
figures/classic/facescape.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,51d6a078960c835c906b57cae8f583226446441c3445522433ab2aa040978014
figures/classic/laplacian_editing.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,72ff917496b3fd347a0104db3865ad4c577aa877cbf4d52e30ce9a6df5a49597
figures/classic/bilaplacian.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,78346a956c90396359c6f280ca9ed544776f0942804c967793389c77c67bf41c
figures/classic/arap_deformation.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,f1b9250840c1bc15cebf6b7bb35ff003e5fb719c43f920aae4e93406387d2276
figures/classic/cvae_architecture.pdf,prior-work illustration,bibliography entry and publisher record cited in the surrounding text,external source; not a repository-generated result,68ae0add1fd5a162c81860e4919860f5bc31f0ad2634b27e01c4ae91995be288
figures/chapter3_review_v2/fig_3_1_studio_modes_final.pdf,prototype/system design,demo/src/components/Studio.jsx;demo/src/components/Studio3D.jsx;demo/src/engine/bundle.js;demo/src/engine/certified.js;demo/src/engine/certifiedLocal.js;demo/public/bundle/manifest.json,implementation-backed; exact composite absent from repository,8030d127deb35b9897797543b79e4640ba0c7fc5fb2b5a8d4b0cb9a11bb484f8
figures/chapter3_review_v2/fig_3_2_software_communication_sequence_final.pdf,prototype/system design,demo/src/components/Studio.jsx;demo/src/components/Studio3D.jsx;demo/src/engine/bundle.js;demo/src/engine/certified.js;demo/src/engine/certifiedLocal.js;demo/public/bundle/manifest.json,implementation-backed; exact composite absent from repository,3f2d005400cb68495360b0d811d2d40849eac0b4e06e1424a7fb81c5b72afdce
figures/chapter3_review_v2/fig_3_3_software_architecture_final.pdf,prototype/system design,demo/src/components/Studio.jsx;demo/src/components/Studio3D.jsx;demo/src/engine/bundle.js;demo/src/engine/certified.js;demo/src/engine/certifiedLocal.js;demo/public/bundle/manifest.json,implementation-backed; exact composite absent from repository,f809a5948697416b6f3631a3900bd93ad0a55d353efee80c3378ff543acc41bf
figures/chapter3_review_v2/fig_3_4_runtime_state_machine_final.pdf,prototype/system design,demo/src/components/Studio.jsx;demo/src/components/Studio3D.jsx;demo/src/engine/bundle.js;demo/src/engine/certified.js;demo/src/engine/certifiedLocal.js;demo/public/bundle/manifest.json,implementation-backed; exact composite absent from repository,5a91a5807f3b7bc912dab34c9bd30a32e52dca981bb48630455107fd4247015e
figures/final/fig_4_3_learning_architecture.pdf,method architecture,rhinoform/train.py;rhinoform/cvae.py;rhinoform/train_rbsr_gate.py;scripts/evaluation/rbsr_ridge_fold_projection.py;demo/src/engine/certifiedLocal.js,implementation-backed; exact composite absent from repository,9c543aa9b8388e97e61ac87878dedc0061403ad38859f1db4a3eab681bba1143
figures/final/fig_4_4_stage1_anchor_evidence.pdf,stage-1 validation,docs/final_tables/component_ablation_validation_4830_pairs.csv;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/base/validation_operating_point_candidates.csv,numeric source committed; exact composite absent from repository,4b2a1d792a373ae2aaaf27d7838aa1a2a5de7a0bebc8c56d2ba51d73ec35911b
figures/final/fig_4_5_stage2_residual_evidence.pdf,stage-2 validation sweep,docs/final_tables/component_ablation_validation_4830_pairs.csv;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/base/validation_operating_point_candidates.csv,numeric source committed; exact composite absent from repository,09925ea9f200ef8aac90b52366b1b0e67d179e80430e8a03bda59413083e783b
figures/final/fig_4_6_stage3_gate_evidence.pdf,stage-3 gate validation,results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/gate/rbsr_gate_training.json;docs/final_tables/component_ablation_validation_4830_pairs.csv,history/summary committed; exact composite absent from repository,934909ccb29210f50c9f5417f5e9e944f05c6138724eee9a7ef9d8c32d3430a7
figures/final/fig_4_7_stage3_spatial_mechanism.pdf,stage-3 spatial mechanism,results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/gate/rbsr_gate_training.json;docs/final_tables/component_ablation_validation_4830_pairs.csv;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/spatial;results/rbsr_final_rerun_holdout_v1/posthoc_subunit_analysis_v1/figures/FIGURE_EVIDENCE.json,aggregate/spatial sources committed; exact composite absent from repository,4023b50a6a9c16a2e4c51a4a828d449d93945bd353efb229fc5ba2de7d6d9c31
figures/final/fig_4_8_stage4_certificate_evidence.pdf,stage-4 certificate validation,results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/certified_projection_validation/rbsr_ridge_fold_projection_validation.csv;results/rbsr_final_rerun_holdout_v1/rbsr/seed20260609/certified_projection_validation/RBSR_CERTIFIED_PROJECTION_FREEZE.json,numeric/protocol sources committed; exact composite absent from repository,5d7c2db984edc32b9a70e9ab9b77730b66fdf02cba6da7769a30a0c95be702d6
