paragraph_start_line,kind,sentence
8,narrative,babel fontspec lmodern
13,narrative,ctexhook.sty xeCJK Noto Serif CJK SC Noto Serif CJK SC Noto Sans CJK SC Noto Sans Mono CJK SC Songti SC Songti SC Hiragino Sans GB Songti SC FandolSong FandolHei FandolFang
45,quantitative,microtype 1.06 0.35em
53,narrative,"amsmath,amssymb,bm pifont newunicodechar"
57,narrative,≈ ≤ ≥ → ∈ × α λ σ μ β γ δ ε θ χ ϕ
79,quantitative,graphicx booktabs array multirow caption subcaption float placeins xcolor enumitem titlesec [display] \ 0.5em
96,quantitative,"0pt -20pt 20pt nosep,leftmargin=1.4em"
103,narrative,"font=small, labelfont=bf, labelsep=period"
112,quantitative,rfinkHTML1F2937 rfblueHTML2563EB rftealHTML0E7C86 rfamberHTMLB45309 rfgreenHTML15803D rfredHTMLB91C1C rfgreyHTML6B7280
120,quantitative,rfbgHTMLF3F4F6 rfbgblueHTMLE8EEFB rfbgtealHTMLE1F0F1 rfbgamberHTMLFBEFDD
125,narrative,"tikz arrows.meta, positioning, shapes.geometric, fit, backgrounds, calc, decorations.pathreplacing, shadows.blur"
137,quantitative,"rfnode/.style= rectangle, rounded corners=2pt, draw=rfink!55, line width=0.6pt, fill=white, align=center, inner sep=5pt, font= , minimum height=8mm , rfstage/.style=rfnode,fill=rfbg, rfanchor/.style=rfnode,fill=rfbgblue,draw=rfblue!70, rfprop/.style=rfnode,fill=rfbgteal,draw=rfteal!70, rfrisk/.style=rfnode,fill=rfbgamber,draw=rfamber!70, rfio/.style= rectangle, rounded corners=7pt, draw=rfgrey, line width=0.6pt, fill=rfbg, align=center, inner sep=5pt, font= , rfdec/.style= diamond, aspect=1.7, draw=rfamber!80, line width=0.6pt, fill=rfbgamber, align=center, inner sep=1pt, font= , rfflow/.style= -Stealth[length=2.4mm], line width=0.7pt, draw=rfink!75 , rfflowd/.style=rfflow,dashed, rflabel/.style= font= , draw=none, fill=none, text=rfgrey, inner sep=1.5pt , rfgroup/.style= rectangle, rounded corners=3pt, draw=rfgrey!50, dashed, line width=0.5pt, inner sep=7pt"
196,narrative,figures/rf_model_figs.tex
205,narrative,figureFigureFigures tableTableTables chapterChapterChapters sectionSectionSections equationEq.Eqs.
241,quantitative,rfredrawindex [2] rfredrawindex rfredrawindex figures/redrawn/fig_1_1_clinical_gap.pdf figures/redrawn/fig_2_1_task_taxonomy.pdf figures/redrawn/fig_3_1_studio.pdf figures/redrawn/fig_3_2_interaction_sequence.pdf figures/redrawn/fig_3_3_offline_online.pdf figures/redrawn/fig_3_4_risk_state_machine.pdf figures/final/fig_4_1_task_geometry.pdf figures/final/fig_4_2_rbsr_framework.pdf
